openjpeg2 2.5.0-1
openssh 9.0p1-1
openssl 1.1.1.p-1
openssl-1.0 1.0.2.u-1
opera 88.0.4412.53-1
opera-ffmpeg-codecs 102.0.5005.115-1
opus 1.3.1-3
opusfile 0.12-2
orc 0.4.32-1
ostree 2022.4-1
oxygen 5.25.2-1
oxygen-sounds 5.25.2-1
p11-kit 0.24.1-1
p7zip 1:17.04-3
pacman 6.0.1-5
pacman-mirrorlist 20220605-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.8-1
parted 3.5-1
partitionmanager 22.04.2-1
patch 2.7.6-8
pciutils 3.8.0-2
pcre 8.45-1
pcre2 10.40-1
perl 5.36.0-1
perl-error 0.17029-4
perl-image-exiftool 12.42-1
perl-locale-gettext 1.07-12
perl-mailtools 2.21-6
perl-parse-yapp 1.21-5
perl-timedate 2.33-4
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-3
pinentry 1.2.0-1
pipewire 1:0.3.53-2
pipewire-alsa 1:0.3.53-2
pipewire-jack 1:0.3.53-2
pipewire-pulse 1:0.3.53-2
pixman 0.40.0-2
pkgconf 1.8.0-1
pkgfile 21-2
plasma-browser-integration 5.25.2-1
plasma-desktop 5.25.2-1
plasma-disks 5.25.2-1
plasma-firewall 5.25.2-1
plasma-framework 5.95.0-2
plasma-integration 5.25.2-1
plasma-meta 5.25-1
plasma-nm 5.25.2-1
plasma-pa 5.25.2-1
plasma-systemmonitor 5.25.2-1
plasma-thunderbolt 5.25.2-1
plasma-vault 5.25.2-1
plasma-wayland-session 5.25.2-1
plasma-workspace 5.25.2-1
plasma-workspace-wallpapers 5.25.2-1
polkit 0.120-5
